Term|Code|Preferred|PreferredTerm|Kind
macrodactylie|M70410|V|macrodactylie|2
macroencefalie|TX2000M20500||megalencefalie|2
macrofaag|T05120|V|macrofaag|0
macrofolliculair adenoom|M83340|V|macrofolliculair adenoom|2
macronodulaire cirrose|M49520T56000|V|macronodulaire cirrose|2
macronodulaire hyperplasie|M72030||hyperplastische nodus|2
macrostomie|T51000M20500|V|macrostomie|2
macula lutea|TXX620|V|macula lutea|0
maffucci|D54160|V|maffucci|2
majocchi schamberg|M48590||purpura pigmentosa chronica|2
malabsorptie|F62002|V|malabsorptie|2
malacie|M54400||verweking|2
malacoplakie|M45550|V|malacoplakie|2
malaise|F00102|V|malaise|2
malaria|D07200|V|malaria|2
maldescensus|T78080M26200||cryptorchisme|2
malherbe|M81100||pilomatricoom|2
maligne|M80003||maligniteit|2
maligne adenofibroom|M90143|V|maligne adenofibroom|2
maligne ameloblastoom|M93103|V|maligne ameloblastoom|2
maligne androblastoom|M86323|V|maligne androblastoom|2
maligne b-cel lymfoom|M95903F40640||b-cel lymfoom|6
maligne blauwe naevus|M87803|V|maligne blauwe naevus|2
maligne brennertumor|M90003|V|maligne brennertumor|2
maligne cellen|M80003||maligniteit|2
maligne chondroblastoom|M92303|V|maligne chondroblastoom|2
maligne eccrien poroom|M84023||porocarcinoom|2
maligne epitheliaal neoplasma|M80103||carcinoom|2
maligne epitheliale tumor|M80103||carcinoom|2
maligne epithelioid mesothelioom|M90523||epithelioid mesothelioom|2
maligne epithelioom|M80113|V|maligne epithelioom|2
maligne feochromocytoom|M87003||feochromocytoom|2
maligne fibreus histiocytoom|M88023||ongedifferentieerd pleiomorf sarcoom|2
maligne fosfaturische mesenchymale tumor|M89923|V|maligne fosfaturische mesenchymale tumor|2
maligne gastrointestinale stromaceltumor|M88953||gastrointestinale stromaceltumor|2
maligne glioom|M94423||gliosarcoom|2
maligne glomustumor|M87113|V|maligne glomustumor|2
maligne granulaircel tumor|M95803|V|maligne granulaircel tumor|2
maligne hemangioendothelioom|M91303|V|maligne hemangioendothelioom|2
maligne hemangiopericytoom|M88153||maligne solitaire fibreuze tumor|2
maligne huidadnex tumor|M83903||huidadnexcarcinoom|2
maligne hypertensie|D73800|V|maligne hypertensie|2
maligne leydigceltumor|M86503|V|maligne leydigceltumor|2
maligne lymfoom|M95903|V|maligne lymfoom|2
maligne melanoma in situ|M87202||melanoma in situ|2
maligne melanoom|M87203||melanoom|2
maligne mengtumor|M89413|V|maligne mengtumor|2
maligne meningeoom|M95303||anaplastisch meningeoom|2
maligne merkelcel tumor|M80423||merkelcelcarcinoom|2
maligne mesenchymale tumor|M88003||sarcoom|2
maligne mesenchymoom|M89903|V|maligne mesenchymoom|2
maligne mesothelioom|M90503||mesothelioom|2
maligne mesothelioom bifasisch|M90533||bifasisch mesothelioom|2
maligne mesothelioom epitheliaal type|M90523||epithelioid mesothelioom|2
maligne mesothelioom epitheliale type|M90523||epithelioid mesothelioom|2
maligne mesothelioom epithelioid|M90523||epithelioid mesothelioom|2
maligne mesothelioom gemengde type|M90533||bifasisch mesothelioom|2
maligne mesothelioom mesenchymaal type|M90513||sarcomatoid mesothelioom|2
maligne mesothelioom mesenchymale type|M90513||sarcomatoid mesothelioom|2
maligne mestcel tumor|M97403||mestcelsarcoom|2
maligne mixed mullerian tumor|M89803||carcinosarcoom|2
maligne mixed mullerian tumor heteroloog|M89803||carcinosarcoom|2
maligne mucineus cystadenofibroom|M90153|V|maligne mucineus cystadenofibroom|2
maligne myoepithelioom|M89823||myoepitheliaal carcinoom|2
maligne neuroectodermale tumor|M93643||ewing|2
maligne non hodgkin lymfoom|M95903||maligne lymfoom|2
maligne odontogene tumor|M92703|V|maligne odontogene tumor|2
maligne oncocytoom|M82903||oncocytair carcinoom|2
maligne ossificerende fibromyxoide tumor|M95743|V|maligne ossificerende fibromyxoide tumor|2
maligne paraganglioom|M86803||paraganglioom|2
maligne pecoom|M87143|V|maligne pecoom|2
maligne perifere neuroectodermale tumor|M93643||ewing|2
maligne perifere zenuwschede tumor|M95603|V|maligne perifere zenuwschede tumor|2
maligne perineurioom|M95713|V|maligne perineurioom|2
maligne phyllodes tumor|M90203|V|maligne phyllodes tumor|2
maligne proces|M80003||maligniteit|2
maligne rabdoid tumor|M89633||rhabdoid tumor|2
maligne reusceltumor bot|M92503|V|maligne reusceltumor bot|2
maligne reusceltumor weke delen|M92513|V|maligne reusceltumor weke delen|2
maligne schwannoom|M95603||maligne perifere zenuwschede tumor|2
maligne sertoli leydigceltumor|M86313|V|maligne sertoli leydigceltumor|2
maligne sertoliceltumor|M86403|V|maligne sertoliceltumor|2
maligne solitaire fibreuze tumor|M88153|V|maligne solitaire fibreuze tumor|2
maligne spitz tumor|M87703|V|maligne spitz tumor|2
maligne steroidcel tumor|M86703|V|maligne steroidcel tumor|2
maligne t-cel lymfoom|M95903F40630||t-cel lymfoom|6
maligne thecoom|M86003|V|maligne thecoom|2
maligne triton tumor|M95623|V|maligne triton tumor|2
maligne tumor|M80003||maligniteit|2
maligne tumor grootcellig type|M80033|V|maligne tumor grootcellig type|2
maligne tumor kleincellig type|M80023|V|maligne tumor kleincellig type|2
maligne tumor onbekend primair of metastase|M80009||onbekend primair of metastase|2
maligne tumor ongeclassificeerd onzeker primair of metastase|M80009||onbekend primair of metastase|2
maligne tumor spoelcellig type|M80043|V|maligne tumor spoelcellig type|2
maligne tumor weke delen|M88003||sarcoom|2
maligne type reusceltumor peesschede|M92523|V|maligne type reusceltumor peesschede|2
maligne weke delen tumor|M88003||sarcoom|2
maligniteit|M80003|V|maligniteit|2
malleolus laterale|T11740||fibula|0
malleolus mediale|T11730||tibia|0
malleus|TXY410||hamer|0
mallory body|T56000M66080|V|mallory body|2
mallory weiss|D61410|V|mallory weiss|2
mallory weiss syndroom|D61410||mallory weiss|2
malpositie|M31010|V|malpositie|2
malrotatie|M22200|V|malrotatie|2
malrotatie van de darm|T64000M22200|V|malrotatie van de darm|6
malt lymfoom|M97183||extranodaal marginale zone lymfoom|2
malt lymfoom laaggradig|M97183||extranodaal marginale zone lymfoom|2
malt lymfoom lage maligniteitsgraad|M97183||extranodaal marginale zone lymfoom|2
maltoom|M97183||extranodaal marginale zone lymfoom|2
mamilla|T04100||tepel|0
mamma|T04000|V|mamma|0
mamma centraal|T04110|V|mamma centraal|0
mamma duct|T04300|V|mamma duct|0
mamma in lactatie|T04000F31920||mamma tijdens lactatie|6
mamma lateraal|T04140||mamma lateraal boven|0
mamma lateraal boven|T04140|V|mamma lateraal boven|0
mamma lateraal onder|T04150|V|mamma lateraal onder|0
mamma man|T04040|V|mamma man|0
mamma mediaal|T04120||mamma mediaal boven|0
mamma mediaal boven|T04120|V|mamma mediaal boven|0
mamma mediaal onder|T04130|V|mamma mediaal onder|0
mamma met lactatoire verandering|T04000F31920||mamma tijdens lactatie|6
mamma paget|M85402||paget mamma|2
mamma sparende operatie|T04000P11110||lumpectomie|6
mamma tijdens lactatie|T04000F31920|V|mamma tijdens lactatie|6
mamma type myofibroblastoom|M88250||myofibroblastoom|2
mamma, areola|T04200||tepelhof|0
mamma, axillaire staart|T04160||axillaire staart mamma|0
mammareductie|T04000P11270|V|mammareductie|6
mammasecreet|T04101||tepelvocht|0
mammaweefsel|T04000||mamma|0
mammilla|T04100||tepel|0
mammografie|T04000PX0000|V|mammografie|0
mammografie benigne|M80000PX0000|V|mammografie benigne|2
mammografie maligne|M80003PX0000|V|mammografie maligne|2
mammografie verdacht|M80001PX0000|V|mammografie verdacht|2
man|F96210|V|man|2
mandibula|T10180||onderkaak|0
mandibulair|TY0680||submandibulair|0
manlijk geslachtschromatinepatroon|M65790|V|manlijk geslachtschromatinepatroon|2
mannelijke borstklier|T04040||mamma man|0
mantelcel lymfoom|M96723M96733M96743|V|mantelcel lymfoom|2
marantische endocarditis|T34000M52600|V|marantische endocarditis|2
marfan|D38500|V|marfan|2
marginale insertie van navelstreng|T88800M29640|V|marginale insertie van navelstreng|2
marginale zone b-cel lymfoom extranodaal|M97183||extranodaal marginale zone lymfoom|2
marginale zone b-cel lymfoom nodaal|M97193||nodaal marginale zone lymfoom|2
marginale zone lymfoom, milt-type|M97113M97193|V|marginale zone lymfoom, milt-type|2
marker|P69800||merker|1
massale embolie|M35301|V|massale embolie|2
massief oedeem|M36507|V|massief oedeem|2
masson tumor|T05130M72050|V|masson tumor|6
mastectomie|T04000P11100|V|mastectomie|6
mastitis|M40000T04000|V|mastitis|6
mastitis carcinomatosa|M80106T04000|V|mastitis carcinomatosa|6
mastocytose huid|M97411||cutane mastocytose|2
mastocytose systemisch|M97413||systemische mastocytose|2
mastoid|TXY520|V|mastoid|0
mastoidholte|TXY520||mastoid|0
mastoidslijmvlies|TXY520||mastoid|0
mastopathie|M74320T04000||fibrocysteuze mastopathie|2
materiaal onbruikbaar|M09010||geen goed materiaal|2
maternaal vloerinfarct|T88790M35100||placenta intervilleuze trombose|6
maternale kant van de placenta|T88600|V|maternale kant van de placenta|0
matige atypie|M69720|V|matige atypie|2
matige dysplasie|M74007|V|matige dysplasie|2
matige ontsteking|M42120|V|matige ontsteking|2
matrix|T1X200||bindweefsel|0
maturation arrest|M75010||rijpingsstop|2
maturitas|F08200||volwassen|2
maturiteit|F08200||volwassen|2
matuur|F08200||volwassen|2
matuur teratoom|M90800||benigne teratoom|2
maxilla|T10170||bovenkaak|0
mazelen|D04300|V|mazelen|2
mc cune albright|D54180|V|mc cune albright|2
mc.ardle|D12560|V|mc.ardle|2
meatus acusticus|TXY200||uitwendige gehoorgang|0
meatus acusticus externus|TXY200||uitwendige gehoorgang|0
meatus auditorius|TXY200||uitwendige gehoorgang|0
meatus nasi|T21080|V|meatus nasi|0
meatus urethrae|T75180|V|meatus urethrae|0
mechanisch beschadigd materiaal|M09040|V|mechanisch beschadigd materiaal|2
mechanisch letsel|M10000E90020||mechanische beschadiging|2
mechanische beschadiging|M10000E90020|V|mechanische beschadiging|2
meckel gruber|D50880|V|meckel gruber|2
meckels diverticulum|T65600M32700||meckels divertikel|2
meckels divertikel|T65600M32700|V|meckels divertikel|2
meckel's divertikel|T65600M32700||meckels divertikel|2
meconium|T8Y420|V|meconium|0
meconium peritonitis|TY4400M36260|V|meconium peritonitis|2
meconium stase|M33120|V|meconium stase|2
meconiumileus|M33120||meconium stase|2
meconiumstapeling|M33120||meconium stase|2
media|T41020|V|media|0
media aorta|T42030|V|media aorta|0
mediacalcificatie|M52420||mediaverkalking|2
mediadegeneratie|M52470||idiopathische cysteuze medianecrose|2
mediale halscyste|T96500M26500||mediane halscyste|6
mediale halsfistel|T96500M26500||mediane halscyste|6
mediale malleolus|T11730||tibia|0
mediale meniscus kniegewricht|T15370|V|mediale meniscus kniegewricht|0
mediale ooghoek|TXX814|V|mediale ooghoek|0
mediale palatumcyste|T51100M26600||mediane palatumcyste|6
mediane halscyste|T96500M26500|V|mediane halscyste|6
mediane mandibulaire cyste|M26525|V|mediane mandibulaire cyste|2
mediane palatumcyste|T51100M26600|V|mediane palatumcyste|6
medianecrose|M52470||idiopathische cysteuze medianecrose|2
mediasclerose|M52430|V|mediasclerose|2
mediastinoscopie|TY2300P13000|V|mediastinoscopie|6
mediastinum|TY2300|V|mediastinum|0
mediastinum anterius|TY2320||voorste mediastinum|0
mediaverkalking|M52420|V|mediaverkalking|2
medicament|E70000||geneesmiddel|2
medicamenteuze intoxicatie|E70000F01220||geneesmiddelintoxicatie|6
medicatie-effect|FY0200E70000||geneesmiddeleffect|2
medulla oblongata|TX7000|V|medulla oblongata|0
medulla spinalis|TX7410||ruggenmerg|0
medullair carcinoom|M85103|V|medullair carcinoom|2
medulloblastoom|M94703|V|medulloblastoom|2
medullomyoblastoom|M94723|V|medullomyoblastoom|2
meerkernige reuscel|M69220||reuscel|2
meerkernige reuscelreactie|M69220||reuscel|2
meerling|F35230|V|meerling|2
meerling placenta (meer dan twee)|T88000M29070|V|meerling placenta (meer dan twee)|2
meerlingzwangerschap|F3121X|V|meerlingzwangerschap|2
megacolon|T67000M32200|V|megacolon|2
megakaryoblast|T06510|V|megakaryoblast|0
megakaryocyt|T06540|V|megakaryocyt|0
megakaryocyten|T06540||megakaryocyt|0
megalencefalie|TX2000M20500|V|megalencefalie|2
megalie|M71000||hypertrofie|2
megaloblastaire anemie|D40500|V|megaloblastaire anemie|2
megaloblastaire bloedvorming|T06100M75950||megaloblastaire erytropoiese|6
megaloblastaire erytropoese|T06100M75950||megaloblastaire erytropoiese|6
megaloblastaire erytropoiese|T06100M75950|V|megaloblastaire erytropoiese|6
megaloblastische bloedvorming|T06100M75950||megaloblastaire erytropoiese|6
megaloblastose|M75950|V|megaloblastose|2
megaloureter|T73000M32200|V|megaloureter|2
megasigmoid|T67000M32200||megacolon|2
megaureter|T73000M32200||megaloureter|2
melaena|T6Y100M37000|V|melaena|6
melanine|M57200|V|melanine|2
melanine pigmentatie|M57200||melanine|2
melaninepigment|M57200||melanine|2
melanoacanthoom|M72750||verruca seborrhoica|2
melanocyt|T01180|V|melanocyt|0
melanocytair matricoom|M81110|V|melanocytair matricoom|2
melanocytaire hyperplasie|M72590|V|melanocytaire hyperplasie|2
melanocyten|T01180||melanocyt|0
melanocyten hyperplasie|M72590||melanocytaire hyperplasie|2
melanocyten naevus|M87200||naevus naevocellularis|2
melanocytoom|M87281|V|melanocytoom|2
melanocytoom oogbol|M87281||melanocytoom|2
melanocytose|M87280|V|melanocytose|2
melanogene hyperpigmentatie|M57170||hyperpigmentatie|2
melanoma in situ|M87202|V|melanoma in situ|2
melanoom|M87203|V|melanoom|2
melanoom nodulair|M87213||nodulair melanoom|2
melanose van riehl|M57310|V|melanose van riehl|2
melanosis|M57201|V|melanosis|2
melanosis coli|T67000D14700|V|melanosis coli|6
melanosis localis|M57201||melanosis|2
melanotisch medulloblastoom|M94713|V|melanotisch medulloblastoom|2
melanotisch schwannoom|M95641|V|melanotisch schwannoom|2
melanotische maligne perifere zenuwschede tumor|M95643|V|melanotische maligne perifere zenuwschede tumor|2
melanotische neuroectodermale tumor kinderleeftijd|M93631|V|melanotische neuroectodermale tumor kinderleeftijd|2
melanotische neuroectodermale tumor van epididymis|M93630|V|melanotische neuroectodermale tumor van epididymis|2
melena|T6Y100M37000||melaena|6
melk|T0Y310|V|melk|0
melkersknobbel|M03010E35990||orf|6
melkersson rosenthal|D84110|V|melkersson rosenthal|2
melkersson-rosenthal syndroom|D84110||melkersson rosenthal|2
melkgang|T04300||mamma duct|0
melksinus|T04320|V|melksinus|0
melktand|T54600|V|melktand|0
meloreostose|T11000M74980|V|meloreostose|2
meltump|M87201|V|meltump|2
membraneuze glomerulonefritis|D67700||membraneuze glomerulopathie|2
membraneuze glomerulopathie|D67700|V|membraneuze glomerulopathie|2
membraneuze ontsteking|M40540|V|membraneuze ontsteking|2
membranitis placentae|T88210T88290M40000||chorioamnionitis|6
membranoproliferatieve glomerulonefritis|D67070||mesangiocapillaire glomerulonefritis|2
membranoproliferatieve glomerulonefritis type 1|D67071||mesangiocapillaire glomerulonefritis type 1|2
men syndroom|D29010|V|men syndroom|2
men syndroom 1|D29020|V|men syndroom 1|2
men syndroom 2a|D29030|V|men syndroom 2a|2
men syndroom 2b|D29040|V|men syndroom 2b|2
menetrier|T63011M71330||hypertrofische gastropathie|2
mengglioom|M93823||oligoastrocytoom|2
mengtumor|M89410||mixed tumor|2
mengtumor van de weke delen|M89401|V|mengtumor van de weke delen|2
meningeale melanomatose|M87283|V|meningeale melanomatose|2
meningen|TX1110|V|meningen|0
meningeoom|M95300|V|meningeoom|2
meningitis|TX1110M40000|V|meningitis|6
meningo encefalitis|TX1110TX2000M40000||encefalomeningitis|6
meningococ|E21700|V|meningococ|2
meningocutane hemangiomatose|D54350||sturge weber|2
meningoencefalokele|M21660||encefalokele|2
meningoencephalitis|TX1110TX2000M40000||encefalomeningitis|6
meningokele|M21620|V|meningokele|2
meningomyelitis|TX1110TX7410M40000|V|meningomyelitis|6
meningomyelokele|M21620||meningokele|2
meningotheliaal meningeoom|M95310|V|meningotheliaal meningeoom|2
meningotheliomateus meningeoom|M95310||meningotheliaal meningeoom|2
meniscus|T15300|V|meniscus|0
meniscus lateralis|T15360||laterale meniscus kniegewricht|0
menometrorragie|F30180|V|menometrorragie|2
menopauze|F30410|V|menopauze|2
menorragie|F30170||hypermenorroe|2
menstruatiefase|T84000M79330||endometrium in menstruatiefase|2
menstruatieprodukt|T8X410||menstruatievocht|0
menstruatievocht|T8X410|V|menstruatievocht|0
menstrueel|T84000M79330||endometrium in menstruatiefase|2
menstrueel endometrium|T84000M79330||endometrium in menstruatiefase|2
menstrueel slijmvlies|T84000M79330||endometrium in menstruatiefase|2
menstruele fase|T84000M79330||endometrium in menstruatiefase|2
mentale retardatie|F93410|V|mentale retardatie|2
merkelcelcarcinoom|M80423|V|merkelcelcarcinoom|2
merker|P69800|V|merker|1
mesangiale glomerulonefritis|D67300||mesangioproliferatieve glomerulonefritis|2
mesangiale glomerulopathie|D67300||mesangioproliferatieve glomerulonefritis|2
mesangiale proliferatie|M68550|V|mesangiale proliferatie|2
mesangiale proliferatieve glomerulonefritis|D67300||mesangioproliferatieve glomerulonefritis|2
mesangiocapillaire glomerulonefritis|D67070|V|mesangiocapillaire glomerulonefritis|2
mesangiocapillaire glomerulonefritis type 1|D67071|V|mesangiocapillaire glomerulonefritis type 1|2
mesangioproliferatieve glomerulonefritis|D67300|V|mesangioproliferatieve glomerulonefritis|2
mesangium|T71290|V|mesangium|0
mesencephalon|TX5100|V|mesencephalon|0
mesenchymaal chondrosarcoom|M92403|V|mesenchymaal chondrosarcoom|2
mesenchymaal hamartoom|M75660|V|mesenchymaal hamartoom|2
mesenchymale proliferatie|M88000||benigne weke delen tumor|2
mesenchymale tumor|M88000||benigne weke delen tumor|2
mesenteriolum|T66100||mesoappendix|0
mesenterium|T64200|V|mesenterium|0
mesenterium commune|T89090M21400|V|mesenterium commune|2
mesenterium jejuni|T65400|V|mesenterium jejuni|0
mesenterium sigmoid|T67840|V|mesenterium sigmoid|0
mesenterium van de dunne darm|T64210|V|mesenterium van de dunne darm|0
mesoappendix|T66100|V|mesoappendix|0
mesoblastisch nefroom|M89601||congenitaal mesoblastisch nefroom|2
mesocolon|T67800|V|mesocolon|0
mesocolon transversum|T67820|V|mesocolon transversum|0
mesodermale stromale poliep|M76810||fibroepitheliale poliep|2
mesogastrium|T89080|V|mesogastrium|0
mesoileum|T65410|V|mesoileum|0
mesonefrisch adenocarcinoom|M91103|V|mesonefrisch adenocarcinoom|2
mesonefrisch carcinoom|M91103||mesonefrisch adenocarcinoom|2
mesonefroid carcinoom|M91113||mesonephric-like adenocarcinoma|2
mesonefroscyste|M26370||mesonefrosrest|2
mesonefrosrest|M26370|V|mesonefrosrest|2
mesonephric adenocarcinoma|M91103||mesonefrisch adenocarcinoom|2
mesonephric-like adenocarcinoma|M91113|V|mesonephric-like adenocarcinoma|2
mesonephros|T89350|V|mesonephros|0
mesosalpinx|T86320|V|mesosalpinx|0
mesosigmoideum|T67840||mesenterium sigmoid|0
mesotheel pericard|T31030|V|mesotheel pericard|0
mesotheel peritoneum|TY4410|V|mesotheel peritoneum|0
mesotheel pleura|T29010|V|mesotheel pleura|0
mesotheel van het peritoneum|TY4410||mesotheel peritoneum|0
mesotheelcyste|M33680|V|mesotheelcyste|2
mesotheelhyperplasie|M72080|V|mesotheelhyperplasie|2
mesotheelproliferatie|M72080||mesotheelhyperplasie|2
mesotheliale cyste|M33680||mesotheelcyste|2
mesothelioom|M90503|V|mesothelioom|2
mesothelioom cystisch|M90551||multicysteus mesothelioom|2
mesothelioom epitheliale type maligne|M90523||epithelioid mesothelioom|2
mesothelioom in situ|M90502|V|mesothelioom in situ|2
mesothelioom mesenchymale type maligne|M90513||sarcomatoid mesothelioom|2
mesothelioom papillair goed gedifferentieerd|M90521||goed gedifferentieerde papillaire mesotheliale tumor|2
mesovarium|T87420|V|mesovarium|0
mestcel|T05140|V|mestcel|0
mestcelhyperplasie|T05140M72000|V|mestcelhyperplasie|6
mestcelleukemie|M97423|V|mestcelleukemie|2
mestcelsarcoom|M97403|V|mestcelsarcoom|2
meta.mal|M80006||metastase maligne tumor|2
metaal|E51401|V|metaal|2
metaalverbinding|E51402|V|metaalverbinding|2
metabole cardiomyopathie|T33010D71050|V|metabole cardiomyopathie|2
metabole stoornis|D10000||stofwisselingsstoornis|2
metacarpaal gewricht|T12530||metacarpofalangeaal gewricht|0
metacarpale 1|T11550||os metacarpale 1|0
metacarpale 2|T11560|V|metacarpale 2|0
metacarpale 3|T11570|V|metacarpale 3|0
metacarpale 4|T11580|V|metacarpale 4|0
metacarpale 5|T11590|V|metacarpale 5|0
metacarpale gewricht|T12530||metacarpofalangeaal gewricht|0
metacarpofalangeaal gewricht|T12530|V|metacarpofalangeaal gewricht|0
metacarpofalangeaal gewricht ringvinger|T12570|V|metacarpofalangeaal gewricht ringvinger|0
metachromatische leukodystrofie|D14110|V|metachromatische leukodystrofie|2
metafyse|T11060|V|metafyse|0
metallose|M55700E51400|V|metallose|2
metanefrisch adenofibroom|M83150|V|metanefrisch adenofibroom|2
metanefrisch adenoom|M83140|V|metanefrisch adenoom|2
metanefrische stromatumor|M83170|V|metanefrische stromatumor|2
metaplasia|M73000||metaplasie|2
metaplasie|M73000|V|metaplasie|2
metaplastisch|M73000||metaplasie|2
metaplastisch carcinoom|M89563|V|metaplastisch carcinoom|2
metaplastisch thymoom|M85803|V|metaplastisch thymoom|2
metaplastische beenvorming|M73400||metaplastische botvorming|2
metaplastische botvorming|M73400|V|metaplastische botvorming|2
metaplastische ossificatie|M73400||metaplastische botvorming|2
metaplastische poliep|M72040M73000|V|metaplastische poliep|6
metastase acantholytisch plaveiselcelcarcinoom|M80756|V|metastase acantholytisch plaveiselcelcarcinoom|2
metastase accessory cell sarcoom|M88076|V|metastase accessory cell sarcoom|2
metastase acinair adenocarcinoom|M85516|V|metastase acinair adenocarcinoom|2
metastase acinaircel carcinoom|M85506|V|metastase acinaircel carcinoom|2
metastase acinic cel carcinoom|M85506||metastase acinaircel carcinoom|2
metastase acinic cel tumor|M85506||metastase acinaircel carcinoom|2
metastase acinuscel carcinoom|M85506||metastase acinaircel carcinoom|2
metastase acraal melanoom|M87446|V|metastase acraal melanoom|2
metastase acrolentigineus melanoom|M87446||metastase acraal melanoom|2
metastase adamantinoom van de lange pijpbeenderen|M92616|V|metastase adamantinoom van de lange pijpbeenderen|2
metastase adenoacanthoom|M85726|V|metastase adenoacanthoom|2
metastase adenocarcinoom|M81406|V|metastase adenocarcinoom|2
metastase adenocarcinoom gastrisch type|M84826|V|metastase adenocarcinoom gastrisch type|2
metastase adenocarcinoom rete ovarii|M91106||metastase mesonefrisch adenocarcinoom|2
metastase adenocarcinoom van anogenitale mammary-like glands|M85166|V|metastase adenocarcinoom van anogenitale mammary-like glands|2
metastase adenoid cysteus carcinoom|M82006||metastase adenoid cystisch carcinoom|2
metastase adenoid cystisch carcinoom|M82006|V|metastase adenoid cystisch carcinoom|2
metastase adenoid plaveiselcelcarcinoom|M80756||metastase acantholytisch plaveiselcelcarcinoom|2
metastase adenosarcoom|M89336|V|metastase adenosarcoom|2
metastase adenosquameus carcinoom|M85606|V|metastase adenosquameus carcinoom|2
metastase alveolair carcinoom|M82516|V|metastase alveolair carcinoom|2
metastase alveolair rabdomyosarcoom|M89206||metastase alveolair rhabdomyosarcoom|2
metastase alveolair rhabdomyosarcoom|M89206|V|metastase alveolair rhabdomyosarcoom|2
metastase alveolair soft part sarcoom|M95816|V|metastase alveolair soft part sarcoom|2
metastase amelanotisch melanoom|M87306|V|metastase amelanotisch melanoom|2
metastase ameloblastisch carcinoom|M92706||metastase maligne odontogene tumor|2
metastase amficrien carcinoom|M82466|V|metastase amficrien carcinoom|2
metastase anaplastisch astrocytoom|M94016|V|metastase anaplastisch astrocytoom|2
metastase anaplastisch carcinoom|M80216|V|metastase anaplastisch carcinoom|2
metastase anaplastisch meningeoom|M95306|V|metastase anaplastisch meningeoom|2
metastase anaplastisch oligoastrocytoom|M93836|V|metastase anaplastisch oligoastrocytoom|2
metastase anaplastisch oligodendroglioom|M94516|V|metastase anaplastisch oligodendroglioom|2
metastase anaplastisch seminoom|M90626|V|metastase anaplastisch seminoom|2
metastase anaplastische ependymoom|M93926|V|metastase anaplastische ependymoom|2
metastase anaplastische ganglioglioom|M95056|V|metastase anaplastische ganglioglioom|2
metastase angiosarcoom|M91206|V|metastase angiosarcoom|2
metastase apocrien carcinoom|M84016|V|metastase apocrien carcinoom|2
metastase astroblastoom|M94306|V|metastase astroblastoom|2
metastase astrocytoom|M94006|V|metastase astrocytoom|2
metastase astrocytoom graad 2|M94026|V|metastase astrocytoom graad 2|2
metastase atypisch carcinoid|M82416|V|metastase atypisch carcinoid|2
metastase atypische teratoide tumor|M95086|V|metastase atypische teratoide tumor|2
metastase ballooncell melanoom|M87226|V|metastase ballooncell melanoom|2
metastase basaalcel adenocarcinoom|M81476|V|metastase basaalcel adenocarcinoom|2
metastase basaalcelcarcinoom|M80906|V|metastase basaalcelcarcinoom|2
metastase basaloid carcinoom|M80836||metastase basaloid plaveiselcelcarcinoom|2
metastase basaloid plaveiselcelcarcinoom|M80836|V|metastase basaloid plaveiselcelcarcinoom|2
metastase basosquameus carcinoom|M80946|V|metastase basosquameus carcinoom|2
metastase bifasisch mesothelioom|M90536|V|metastase bifasisch mesothelioom|2
metastase bijnierschorscarcinoom|M83706|V|metastase bijnierschorscarcinoom|2
metastase bronchiolair alveolair carcinoom|M82506||metastase lepidisch adenocarcinoom|2
metastase bronchioloalveolair carcinoom|M82506||metastase lepidisch adenocarcinoom|2
metastase carcinoid|M82406|V|metastase carcinoid|2
metastase carcinoma sebaceum|M84106||metastase talgkliercarcinoom|2
metastase carcinoom|M80106|V|metastase carcinoom|2
metastase carcinoom ex pleiomorf adenoom|M89406|V|metastase carcinoom ex pleiomorf adenoom|2
metastase carcinoom met osteoclastaire reuscellen|M80356|V|metastase carcinoom met osteoclastaire reuscellen|2
metastase carcinosarcoom|M89806|V|metastase carcinosarcoom|2
metastase cerumineus carcinoom|M84206|V|metastase cerumineus carcinoom|2
metastase cholangiocarcinoom|M81606|V|metastase cholangiocarcinoom|2
metastase chondroblastair osteosarcoom|M91816|V|metastase chondroblastair osteosarcoom|2
metastase chondrosarcoom|M92206|V|metastase chondrosarcoom|2
metastase chordoom|M93706|V|metastase chordoom|2
metastase choriocarcinoom|M91006|V|metastase choriocarcinoom|2
metastase chromofoob carcinoom|M82706||metastase chromofoob niercelcarcinoom|2
metastase chromofoob niercelcarcinoom|M82706|V|metastase chromofoob niercelcarcinoom|2
metastase clearcell carcinoom|M83106|V|metastase clearcell carcinoom|2
metastase clearcell chondrosarcoom|M92426|V|metastase clearcell chondrosarcoom|2
metastase clearcell sarcoom nier|M89646|V|metastase clearcell sarcoom nier|2
metastase clearcell sarcoom pees en aponeurose|M90446||metastase clearcell sarcoom van de weke delen|2
metastase clearcell sarcoom van de weke delen|M90446|V|metastase clearcell sarcoom van de weke delen|2
metastase clearcell tumor long|M83196|V|metastase clearcell tumor long|2
metastase cloacogeen carcinoom|M81246|V|metastase cloacogeen carcinoom|2
metastase collecting duct carcinoma|M83276|V|metastase collecting duct carcinoma|2
metastase colloid carcinoom|M84806||metastase mucineus carcinoom|2
metastase cystadenocarcinoma papilliferum|M84506||metastase papillair cystadenocarcinoom|2
metastase cystadenocarcinoom|M84406|V|metastase cystadenocarcinoom|2
metastase dermaal hypermelanotisch melanoom|M87616|V|metastase dermaal hypermelanotisch melanoom|2
metastase dermatofibrosarcoma protuberans|M88326||metastase fibrosarcomateus dermatofibrosarcoma protuberans|2
